Cluster,Company_Cluster
1,3
2,2
3,14
4,3
5,2
6,6
7,5
8,3
9,3
10,3
11,2
12,5
13,3
14,11
15,1
16,5
17,3
18,3
19,6
20,3
21,9
22,2
23,10
24,5
25,14
26,1
27,4
28,4
29,4
30,3
31,6
32,1
33,2
34,10
35,32
36,2
37,3
38,2
39,6
40,4
41,2
42,6
43,3
44,4
45,4
46,1
47,2
48,3
49,3
50,4
51,5
52,17
53,11
54,2
55,3
56,5
57,7
58,16
59,3
60,5
61,5
62,2
63,11
64,5
65,5
66,3
67,4
